asin,price_pos,leak_pos,absorb_pos,comfort_pos,material_pos,package_pos,size_pos,price_neg,leak_neg,absorb_neg,comfort_neg,material_neg,package_neg,size_neg
B079QJ25LL,0,0,0,2,1,0,3,0,0,0,0,0,0,0
B079QJFFTQ,0,2,0,1,0,0,0,0,2,0,2,0,0,0
B079QJFSN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B079QJFSPX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07BFMNKBJ,1,4,6,0,0,0,1,0,0,0,0,0,0,0
B07BHM7B54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B07BPN9MM9,4,9,27,68,12,1,14,0,2,0,2,0,0,0
B07BPXDNDC,5,0,0,2,0,0,0,0,0,0,0,0,0,0
B07BPZYLBL,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B07BRTDFS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07C11X3M8,2,0,3,1,0,0,0,0,2,0,3,0,0,0
B07C881G7Z,1,8,0,7,2,0,0,0,0,0,0,0,0,0
B07C94P79Q,2,0,5,8,2,0,4,0,2,0,2,0,0,0
B07CBB689J,5,37,0,70,14,4,53,0,4,0,16,0,0,0
B07CG98SVR,0,0,0,0,0,1,1,0,0,0,0,0,0,0
B07CL4CVP9,2,4,11,6,0,0,5,0,0,0,0,0,0,0
B07CNM2SWC,0,0,0,2,0,0,0,0,0,0,0,0,0,0
B07D9GT8JB,1,29,0,52,2,0,20,0,6,0,8,0,0,0
B07DB53YY6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07DHBZ6MY,0,4,0,0,0,0,2,0,0,0,0,0,0,0
B07DHBZ7KH,3,7,0,9,0,0,17,0,0,0,0,0,0,0
B07DLCQ9FZ,8,4,42,45,2,15,5,0,2,0,0,0,0,0
B07DPMP7G1,2,4,3,5,1,0,3,0,0,0,0,0,0,0
B07DX8RYP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07DX91LR6,14,5,11,13,0,1,1,0,2,0,2,0,0,0
B07DX94RVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07DX95FCL,3,2,0,3,0,2,0,0,0,0,0,0,0,0
B07DXGFW54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07FCCFV15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07FDG7TLK,0,0,3,4,0,0,2,0,0,0,0,0,0,0
B07FDQDV9T,0,4,4,7,0,0,0,0,0,0,0,0,0,0
B07FPV5R7D,0,0,3,0,0,0,0,0,0,0,0,0,0,0
B07G2289BJ,0,4,6,2,0,0,3,0,0,0,0,0,0,0
B07G2C7BD2,1,2,12,3,0,0,0,0,0,0,0,0,0,0
B07G2L2GT4,0,4,3,3,0,0,1,0,0,0,2,0,0,0
B07G5RKF3P,0,4,3,1,0,0,0,0,0,0,0,0,0,0
B07G9JPBW9,3,88,0,60,9,0,23,0,2,0,17,0,0,0
B07G9KLJKC,0,0,0,2,0,0,0,0,0,0,0,0,0,0
B07H82X8HV,16,46,0,94,2,0,30,1,8,0,9,0,0,1
B07HK894F8,2,0,0,4,0,1,0,0,0,0,0,0,0,0
B07HKDFVZL,6,10,31,11,0,3,2,0,2,0,0,0,0,0
B07HKPY7PN,2,0,0,0,0,3,0,0,0,0,0,0,0,0
B07HNFG5KW,0,0,0,2,0,0,0,0,0,0,0,0,0,0
B07JGTJ56P,0,8,0,6,0,1,2,0,2,0,0,0,0,0
B07JHCVT2R,0,0,3,0,0,0,1,0,0,0,0,0,0,0
B07JLTBBXL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B07JWX5W9T,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07K4D4MC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07KCMTNY3,2,4,21,14,1,0,10,0,2,0,1,0,0,0
B07KCNK9M7,2,4,21,14,1,0,10,0,2,0,1,0,0,0
B07KSTJZ22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07KW1GWWM,0,4,3,5,3,3,2,0,0,0,0,0,0,0
B07KW8LGYM,4,7,0,32,8,0,10,0,0,0,9,0,0,1
B07MTMGQ1P,5,2,0,4,1,2,1,0,0,0,0,0,0,0
B07MYPM9WZ,3,0,25,2,0,0,0,0,0,0,0,0,0,0
B07NBGP9MF,0,0,3,0,0,0,1,0,0,0,0,0,0,0
B07NCRTG3L,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07NDYQZZ7,5,9,42,27,5,3,5,0,1,0,0,0,0,0
B07NL923F6,0,0,0,2,0,0,1,0,0,0,0,0,0,0
B07NLXKYWN,0,5,9,5,0,0,0,0,2,0,0,0,0,0
B07Q1C27K2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
B07Q46DSW5,1,1,9,2,0,1,1,0,0,0,0,0,0,0
B07Q5V54V4,8,28,0,51,8,5,33,0,2,0,0,0,0,1
B07Q73VT93,2,4,4,29,7,2,35,0,0,0,0,0,0,0
B07Q758P4F,0,0,4,7,0,4,0,0,0,0,0,0,0,0
B07Q843TZ7,8,28,0,51,8,5,33,0,2,0,0,0,0,1
B07Q86RG7M,3,2,0,4,1,2,1,0,0,0,0,0,0,0
B07QBCGYXQ,0,0,3,7,0,1,0,0,0,3,0,0,0,0
B07QHP8DYV,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B07QYVVGTC,0,0,0,8,0,0,0,0,2,0,2,0,0,0
B07R96219D,1,31,0,45,6,0,31,0,0,0,5,1,0,0
B07RCCSJNX,4,2,0,1,0,2,0,0,0,0,0,0,0,0
B07RML6XLB,1,0,3,0,0,0,0,0,0,0,0,0,0,0
B07RMZGKDF,0,2,7,0,1,0,0,0,2,0,4,0,0,0
B07RMZYSH6,0,2,0,2,2,0,0,0,0,0,2,0,0,0
B07RN212T9,0,1,0,2,0,0,1,0,0,0,0,0,0,0
B07SB4NBKY,2,6,4,5,1,0,4,0,0,0,3,0,0,0
B07SC8SH6W,4,0,0,22,0,18,1,1,0,0,0,0,0,0
B07TDMGPYG,2,94,1,97,7,1,42,0,8,0,8,0,0,1
B07TFHKHM4,2,41,0,65,4,1,17,0,3,0,0,0,1,0
B07TM4CG62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B07TQMQN2P,2,1,5,9,2,0,2,0,0,0,0,0,0,0
B07TRNMPGT,3,0,21,7,1,1,0,0,0,0,0,0,0,0
B07TSXV94W,14,6,12,34,1,2,10,0,0,0,0,0,0,0
B07V1G729W,2,0,0,2,0,3,0,0,0,0,0,0,0,0
B07VRD3G2W,0,0,0,12,4,2,1,0,0,0,6,1,0,0
B07VVCCXHK,0,0,1,0,1,2,1,0,0,0,0,0,0,0
B07VXHXFNL,2,0,3,0,0,0,0,0,0,0,0,0,0,0
B07VYVBVQS,1,0,0,2,0,4,0,0,0,0,0,0,0,0
B07WDK9264,5,0,3,2,0,1,0,0,0,0,0,0,0,0
B07WJJCN8T,1,0,2,1,5,1,0,0,0,0,0,0,0,0
B07WJJGLKS,16,6,19,36,9,10,9,0,0,0,0,0,0,1
B07WJX7KFK,0,4,1,4,0,0,0,0,0,0,0,0,0,0
B07WNTZW6H,2,2,15,9,0,0,3,0,0,0,0,0,0,0
B07WYYXGL5,1,0,0,2,0,2,0,0,0,0,0,0,0,0
B07WZP3NPQ,1,50,0,111,4,2,23,0,11,0,5,0,0,1
B07X3VGTLF,1,29,0,67,8,0,15,0,6,0,2,0,0,0
B07XJWLJGS,0,2,0,2,1,0,1,0,0,0,0,0,0,0
